,dates,heads,texts
1383,2018-05-01,"Badin journalist arrested for sexually abusing teenage boy, say police
","Sindh police on Tuesday arrested a news reporter, associated with a private TV channel, over charges of sexually abusing a 17-year-old boy in Badin. ,A case was registered against the sexual offender under Sections 337J (causing harm by poison), 411 (receiving stolen property) and 377 (sodomy) of Pakistan Penal Code on the complainant of the victim's elder brother.,The complainant told police that the journalist in question deceivingly took the boy to a deserted place near the railway track in Badin on Monday, where he reportedly drugged the victim and sexually abused him. ,The victim's brother further alleged that the arrested journalist was also involved in sexually abusing other young boys in their locality.,SSP Badin Irfan Ahmed Samoon, when contacted, confirmed the registration of the FIR and the subsequent arrest of the news reporter. Model police station SHO Mohammad Qasim Panhwar made the arrest.,Samoon said police had already issued a letter to the boy for his medical check-up from Indus Hospital in Badin."
1384,2018-05-01,"Malaysia convicts first person under fake news law
","KUALA LUMPUR: A Malaysian court on Monday handed a Danish man a one-week jail term for breaking a law against “fake news”, the first person to be punished under the controversial legislation.,The law, passed in early April, makes the deliberate dissemination of false information punishable by up to six years in jail and a hefty fine. It has sparked outrage from rights groups, who believe it is aimed at cracking down on dissent.,Salah Salem Saleh Sulai­man, a 46-year-old of Yem­eni descent, admitted making and posting on YouTube a video accusing emergency services of responding slow­­ly after a Palestinian Hamas member was gunned down in Kuala Lumpur.,Fadi al-Batsh, said to be a rocket-making expert, was on his way to dawn prayers on April 21 when he was assassinated by motorbike-riding gunmen, a killing his family have blamed on Israel’s spy agency. The Jewish state has denied it was behind the murder.,The Dane, who did not have a lawyer and was wearing white robes and a green skullcap during a court appearance in Kuala Lumpur, said he was not aware of Malaysia’s laws. ,Judge Zaman Mohamad Noor sentenced him to a week in jail, including time already served since his April 23 arrest, and fined him 10,000 ringgit ($2,500). If he cannot pay the fine, then he will have to serve another month in jail, the judge said.,The Dane, who had been on a 10-day visit to Malaysia when the crime was committed, said he did not have enough money to pay the fine. He said he had three wives and six children.,The law banning fake news has sparked concern the government is seeking to crack down on criticism, particularly with a general election looming on May 9."
1385,2018-05-02,"CM takes notice of tweet against MPA
","LAHORE: Chief Minister Shahbaz Sharif has taken notice of a tweet of a young woman of a Christian family against a PML-N woman MPA, accusing the lawmaker of using the police to harass her family, according to the sources who say the CM has sought a detailed report from the police high-ups on the matter. ,Ruth Stephen, addressing the PML-N, in her tweet had said: “A land mafia, backed by a selected MP of yours is bent upon grabbing our church land in @CMShehbaz constituency. They’ve been framing false cases against us, making a judicial suit as a criminal one”. ,The sources in police said that the CM had sought a report on the case. ,Ms Ruth’s family is in civil litigation to get possession of five kanal disputed land. She alleged that MPA Mary Gill has been backing her father, Raja Nathaniel Gill, to implicate her (Ruth’s) family in many criminal cases to grab the disputed land in Youhanabad which was obtained for a church. ,“Nathaniel Gill, a senior lawyer by profession, misused his authority, bribed Nishtar Colony police and lodged four criminal cases against my family members,” Abraham Stephen, Ruth’s brother, told Dawn on Tuesday. ,He said three FIRs were registered in 2017 and another some three weeks back with the Nishtar Colony Police Station. He lamented the police nominated his elderly father, Stephen Illyas, and 19-year-old brother Joshua Stephen, an A level student, in these cases. ,“I am an engineer by profession and Mr Nathanial Gill also lodged a criminal case against me with the same police station,” Mr Abraham said, adding that his rival had filed over 20 applications against them with the police. ,The first three FIRs were registered against him and his other family members under the Telegraph Act and the last one for setting Nathaniel’s car on fire, Abraham gave details. He alleged that all the applications were filed on the letter head of MPA Marry Gill and purpose was to harass him and his family to force them to withdraw the case from the civil court. ,He complained that his family had suffered a lot due to police’s rude behaviour during the last couple of years, adding that his father had severe heart and paralysis attacks due to the harassment. ,Abraham, however, said he and his family got a little bit relief after the chief minister took notice of his sister’s tweet on Monday. ,Divisional SP Faisal Shahzad called the both the parties and after giving sympathetic hearing barred the local police from lodging further any case against his family. ,MPA Mary Gill strongly denied the allegation leveled against her, saying: “The Stephen family had tactfully dragged me in the case being political leader. ,“I am an MPA from the ruling party and it is very easy to target me. It is matter of fact that Nathanial Gill is my father but I have nothing to do with the case of disputed land in question,” she went on saying. ,Ms Gill said neither her letterhead was used to lodge cases against Mr Stephen and his family nor would she allow anyone to misuse it. ,She suggested to the Stephen family to avoid politicising the ‘local dispute’. ,Mr Nathanial Gill’s stance complicated the matter when he claimed that the disputed land was not meant for the church. ,“The Stephen family members are deliberately twisting the facts by giving the matter a religious colour to gain sympathies of the authorities as they fear that the judgment of the court is coming against them,” he said. ,Highlighting background perspective of the disputed land, Mr Nathaniel claimed the disputed piece of land was actually owned by some Muslim people of the same area. ,“It is matter of fact that it doesn’t belong to any of Christians or reserved for Church,” he said and added that originally the disputed land measuring total 66 marla was owned by one Muhammad Abdul Rehman. ,Out of which, Mr Rehman sold out 19 marla to a local Muslim man, Salim Amir, settled in America, 10 marla each to Nargis Siddique and May Simen and one kanal and seven marla to an elderly lady, Kalli Bibi. ,“Later I purchased three kanal and six marla piece of land from Kalli Bibi in 1995,” Mr Nathanial added. ,As the land was located adjacent to the house of Mr Stephen, he illegally encroached on it a couple of years back at night, raising walls, putting up a gate and displaying on it the symbol of crucifixion, Nathanial alleged. ,His rival also displayed a board ‘Convention Centre and Assembly of God’ giving it a religious colour, issuing a threat to the Muslim owners that he would bring the matter to the authorities for ‘an attempt to grab Church property’. ,“I went into the litigation and after fighting the case for two years, got possession of the land through the bailiff,” Mr Nathanial said. ,He denied the allegation of using influence of the police to implicate his rival family in any cases. ,Model Town Division SP (Operations) Faisal Shahzad rejected the allegation leveled by the Stephen family against the police saying the accused had been declared guilty of charges in three out of the four cases lodged against them. ,He said in the last case of setting car on fire, the two local residents had submitted an affidavit that they had witnessed Stephen family members while committing the crime. ,“I called both the families on Monday, heard their respective claims and took a decision to resolve the issue,” Mr Shahzad said. ,He said both the parties had agreed to refer the matter to ‘alternate dispute resolution’ for a permanent solution. ,An important meeting to this effect has been called within a couple of days to reach a resolution, the SP said."
1386,2018-05-02,"Couple shot dead in suspected 'honour killing' in Karachi
","A couple who had contracted a free-will marriage was shot dead, allegedly by the woman's family members, in Karachi on Wednesday, in what police suspect is a case of 'honour killing'.,According to police, 32-year-old Amir and his wife, Mukhtiba, 24, were leaving after meeting their relatives in Sukhia Goth off Super Highway when unidentified assailants opened fire on them and fled.,The victims sustained critical bullet wounds and were taken to Abbasi Shaheed Hospital, where they were pronounced dead.,See: ,An official of SITE Super Highway Industrial police said the double murder appeared to be linked to the couple's love marriage.,Amir and Mukhtiba had married of their own free will around two years ago, the official said. They had no children and were residing in the Mominabad area of Orangi Town.,The police have registered a murder case against the deceased man's in-laws on the complaint of his father.,One nominated suspect, a brother of the slain woman, has been arrested while her father and uncle are on the run.,Scores of people in Pakistan, an overwhelming majority of whom are women, are still being murdered by relatives for bringing 'shame' on their family, more than a year since new laws came into force aimed at stemming the menace of 'honour killings'.,In October 2016, a joint sitting of both houses of parliament passed two key pro-women bills that had been pending assent for a long time.,The move at that time was cautiously hailed by women's rights activists. More than a year on, however, lawyers and activists say honour killings are still occurring at an alarming pace.,At least 280 such murders were recorded by the independent Human Rights Commission of Pakistan from October 2016 to June 2017 ─ a figure believed to be understated and incomplete.,The legislation mandates life imprisonment for honour killings, but whether a murder can be defined as a crime of honour is left to the judge's discretion.,That means the culprits can simply claim another motive and still be pardoned, according to Dr Farzana Bari, a widely respected activist and head of the Gender Studies Department at Islamabad's Quaid-i-Azam University."
1387,2018-05-02,"Rao Anwar skips hearing of Naqeebullah case after 'falling ill'
","An Anti-Terrorism Court (ATC) in Karachi adjourned the hearing of the Naqeebullah murder case until May 14 after former Malir SSP Rao Anwar — , — failed to appear before the court. ,At the last hearing, the court had sent Anwar to , until May 2 (today). The former SSP, 11 of his detained subordinates and 14 absconders are accused of abducting Naqeebullah for ransom and later killing him, along with three other detainees, in a staged encounter in Malir on January 13.,The accused cops had initially dubbed the murder an 'encounter' against militants.,Instead of Anwar, a health certificate declaring that the official had fallen ill was presented before the judge at today's hearing. The court, expressing its displeasure on Anwar's absence, directed the police officials to produce him at the next hearing. The judge warned that the doctor who issued the health certificate for Anwar could be summoned to the court if Anwar is not brought on May 14.,The court also expressed its displeasure over the absence of the investigation officer (IO) of the case, SSP Dr Rizwan, and ordered him to appear today and submit a report on the measures taken so far to arrest other accused nominated in the case.  ,Family members and friends of Naqeebullah Mehsud staged a protest demonstration outside the court, demanding full justice. ""Rao Anwar is not ill but cunning; he is hiding behind a health certificate. We will bring the entire country to a standstill with our protest if Rao Anwar is not brought handcuffed on the next hearing,"" said a relative of the deceased. ,Later in the day, the IO submitted a supplementary charge sheet in the case. According to the charge sheet, the geofencing report highlighted the presence of Rao Anwar and others at the crime scene when the encounter was staged. It said that all the accused were in contact with each other at the time of the shooting. The police report held Anwar prime accused in the case. Anwar was reluctant to cooperate with the investigators, it added.,The ATC also came to know on Wednesday, through a notification, that the prime accused in the case was being kept at a ""sub-jail"" in Cantt area, instead of the prison.  ,According to a notification, a copy of which is available with ,, Multan Lines in Cantt area had been declared sub-jail for Rao Anwar due to security threats to his life in the central prison. ,The notification cited two separate telephonic conversations between the Sindh inspector general prisons, Muzaffar Alam Siddique, and SSP Central Prison, Karachi, and the other between the IGP prisons and Sindh home department secretary for allowing to keep Anwar at a sub-jail.,Anwar, along with other suspects, has also been booked for planting false evidence — pistols and hand grenades — on Mehsud and three others after killing them in the shootout, and later registering a false case against the deceased under the Sindh Arms Act for illegal possession of arms and explosives.,As many as 11 police officials had already been arrested in the case before Anwar was taken into custody following his ,. Around 15 accused police officers have been declared as absconders in the case.,According to the IO’s report submitted earlier in the ATC, policemen in plainclothes had picked Naqeebullah Mehsud, along with two other persons, and took them to the Sachal police post where the two others were separated from Mehsud.,When one of the witnesses asked the policemen about their abduction, a policeman replied that they were being taken to see Rao Anwar and then they (captives) would ""make their way to heaven"".,The two witnesses — who were eventually released by the police — told investigators that they were later taken to an unknown location where they also saw Mehsud. When one of them spoke to Mehsud, the latter said that police were demanding Rs1 million against his release, but he could not arrange even Rs50,000.,The report further stated that the witnesses, after being released, came to know through the media that Rao Anwar and his associates had allegedly killed Mehsud and three others in a staged encounter in the Shah Latif Town area on Jan 13 and dubbed them as militants.,Mehsud's father lodged a case on Jan 23 against Rao Anwar and others on the basis of the findings of a three-member inquiry committee, which had said that, prima facie, the encounter was coordinated, fake and staged. Police investigators claimed that Anwar played a central role in the case. "
1388,2018-05-03,"ATC accepts supplementary charge sheet against Rao, 25 others in Naqeeb case
","KARACHI: An antiterrorism court on Wednesday accepted a supplementary charge sheet against suspended SSP Rao Anwar Khan and 25 of his detained and absconding subordinates in a case related to the abduction and murder of Naqeebullah Mehsud and three others in an alleged staged encounter.,The former SSP and 10 of his detained subordinates and around 15 absconding ones are accused of abducting Naseemullah, better known as Naqeebullah Mehsud, for ransom and killing him with three other detainees, in a staged encounter in Malir on Jan 13.,On Wednesday, Investigating Officer SSP Central Dr Rizwan Ahmed was supposed to produce the suspended SSP and 10 of his detained subordinates before court on the expiry of their judicial remand and also submit the final charge sheet against them. However, neither was the IO present nor was the charge sheet submitted or Rao Anwar produced. 
The reason for the suspect’s non-production was mentioned as his ill health and security concerns.,‘These digital evidences show the important role of the suspects in planning and execution of the fake encounter’,Therefore, the judge summoned the IO to produce the suspended SSP and furnish the charge sheet.,Later, the IO submitted the supplementary charge sheet through the special public prosecutor after scrutiny.,He also produced a letter of the prisons IG dated April 21, which stated that with due concurrence of the provincial home secretary the custody of suspect Rao Anwar was shifted to the sub-jail in Multan Lines, Malir Cantonment, under proper security arrangements with due regard to Rule 172 of the Pakistan Prisons Rules.,The supplementary charge sheet mentioned that forensic reports of the weapons, a technical analysis of the call detail records, interviews of Rao Anwar received from TV channels and circumstantial evidence suggested involvement of Rao Anwar, former SI Anar Khan, former HC Faisal Mehmood, former PC Raja Shamim, former SI Amanullah Marwat, former ASI Gada Hussain, former HC Sadaqat Hussain, former HC Mohsin Abbas, former PC Rana Riaz, former SI Sheikh Mohammad Shoaib, alias Shoaib Shooter, former ASI Khair Mohammad in extrajudicial killing and dubbing the victims as terrorists.,It said the CDR showed the presence of Rao Anwar at the crime scene between 2.55am and 3.21am, adding that his presence was also recorded near the New Sabzi Mandi on the Superhighway on Jan 4, 5, 8, 9 and 13.,The CDR analysis further revealed that PC Shakil Feroze, former SHO Amanullah Marwat and ASI Gada Hussain were present at the crime scene together on Jan 12 while the presence of former SI Anwar, former ASI Gada Hussain, former ASI Khair Mohammad and Raja Shamim was also recorded on Jan 13. It showed that PC Shakil Feroze and ASI Gada Hussain contacted each other through mobile phones 18 times on the day of the incident and a day before it while PC Shakil Feroze also changed his mobile SIM cards and mobile phones several times after the incident.,“These digital evidences show that important role of the suspects in planning and execution of the fake encounter, while it also suggests their involvement in failure to report the crime and abetting the police party in the fake encounter,” it stated.,The CDR analysis further showed that mobile phones of Mohsin Abbas and Raja Riaz were switched off at the time of the encounter and former DSP Qamar Ahmed Sheikh had constantly been in contact with the police officers and officials involved in the fake encounter.,It further mentioned that former ASI Allahyar, former HC Mohammad Iqbal, former PC Arshad Ali, former PC Ghulam Nazik, former PC Shafiq Ahmed and former PC Abdul Wali were found involved in kidnapping Naqeebullah and his friends from the Sher Agha hotel and taking them to the Abbas Town police post and trying to hush up the whole episode, which was an offence punishable under Sections 365, 201, 202 and 34 of the Pakistan Penal Code.,It added that former PC Raees Abbas and Syed Imran Kazmi were found involved in the kidnapping and torturing and demanding ransom for the victims’ release which was an offence punishable under Sections 365-A, 201, 202 and 34 of the PPC.,It said former ASI Ali Akbar Mallah’s role in the fake encounter was determined while the former DSP Qamar Ahmed was found involved in making entries of the fake encounter, tampering with the evidence and facilitating the police party involved in fake encounter.,The supplementary charge sheet revealed that there was no criminal record of the victims against whom the suspects had highlighted fake stories in the media to hush up the extrajudicial killings, while they were also found involved in destroying the evidences, misusing their official authority in an attempt to cover up their other unlawful acts. The supplementary charge sheet mentioned that in the light of all the evidence and statements of the witnesses, the arrested suspects, including SSP Rao Anwar, were involved in kidnapping for ransom, murder and destroying the evidence.,The IO informed the court that help was being sought from all the intelligence agencies, the media and social media for the arrest of the absconding suspects, who had gone into hiding to avoid arrest.,He said the arrest of the absconding suspects with the weapons used in the offence and further disclosures during investigations were expected. He asked the court to accept the supplementary charge sheet against the arrested suspects.,The judge accepted the supplementary charge sheet. "
1389,2018-05-03,"Indian gangster Chhota Rajan gets life sentence for journalist’s murder
","MUMBAI: An Indian court on Wednesday sentenced notorious gangster Chhota Rajan and eight others to life in prison for murdering a journalist in a drive-by shooting in Mumbai seven years ago. Jyotirmoy Dey, a crime reporter who specialised on gangland activities for the Mid-day tabloid, was shot dead in broad daylight on June 11, 2011.,Prosecutors said Rajan had ordered the hit because he was unhappy about negative articles that Dey had written about him. A special court in India’s financial capital Mumbai found Rajan guilty of ordering the contract killing of the 56-year-old.,The court also convicted eight henchmen, including four shooters. They and Rajan, who is in his late 50s, were later sentenced to life imprisonment.,Reporters in the world’s largest democracy often face harassment and intimidation by police, politicians, bureaucrats and criminal gangs. More than forty journalists have been killed in India since 1992, according to the US-based Committee to Protect Journalists.,The judge acquitted two others of involvement, including a female journalist who had been accused of conspiring with and abetting Dey’s killers. Jigna Vora, who worked for the Asian Age newspaper, was accused of passing on Dey’s home address and motorcycle registration number to gangsters working for Rajan.,Police said Rajan’s gang followed Dey and shot him five times from behind near his home in the northern Mumbai suburb of Powai. Officers said the gang was paid 500,000 rupees ($11,000) for the killing. They fled to towns around the country in the aftermath, where most of them were arrested.,Rajan, whose real name is Rajendra Sadashiv Nikalje, was once one of India’s most wanted men and is accused of dozens of gruesome crimes.,Wednesday’s ruling was his first major conviction since he was deported from Indonesia in October 2015 after two decades on the run. Rajan was allegedly the right-hand man of Mumbai crime boss Dawood Ibrahim before an acrimonious split following the 1993 bomb blasts in Mumbai that killed 257 people."
1390,2018-05-03,"Police arrest two suspects in connection with nine-year-old girl's murder in Larkana
","Larkana police on Wednesday confirmed that they have arrested two suspects in connection with the murder of a nine-year-old girl, whose dead body was ,.,The arrests were made after Larkana's Deputy Inspector General (DIG) Abdullah Sheikh and SSP Tanweer Tunio were issued notices by the Sindh High Court (SHC), ordering them to appear in court and submit a report on the murder on May 7.,On April 25, a day after she was reported missing, the victim's dead body was found floating in a pond near a hotel on Larkana-Naudero Road. ,After preliminary medical examination of her body, police surgeon Dr Saleem Shaikh had said that the girl was subjected to attempted rape, whereas the cause of her death was ascertained to be asphyxia.  "
1391,2018-05-03,"Three indicted in Imran Farooq murder case
","ISLAMABAD: An Anti-Terrorism Court (ATC) on Wednesday indicted three suspects in the murder case of Muttahida Qaumi Movement (MQM) leader Dr Imran Farooq. ,ATC judge Shahrukh Arjumand issued the charge sheet to the accused under various sections of the Pakistan Penal Code (PPC) and Anti-Terrorism Act (ATA), 1997, related to the murder, abetment and hatching a conspiracy to kill. ,Two of the suspects, Shamim and Syed Mohsin Ali, have recorded their confessional statements before the magistrate, alleging that the MQM leader was eliminated because he was a “potent threat to the leadership of the MQM”. ,The third suspect, Moazzam Ali, has not recorded a confessional statement yet. ,Shamim confessed that , was a “birthday gift” for MQM founder Altaf Hussain, while Mohsin’s statement revealed that he took part in the crime because he was promised a position in the party’s London secretariat. ,On Dec 5, 2015, the , and other party leaders for their alleged involvement in the 2010 murder. ,Farooq was murdered near his residence in Green Lane, Edgware, in September 2010."
1392,2018-05-03,"Extortion calls to Karachiites from abroad have not stopped completely: AIG Abbasi
","Additional IG (AIG) Counter-Terrorism Department Sanaullah Abbasi on Thursday expressed his concerns on extortion calls to Pakistani citizens originating from abroad which have not ceased completely despite the much improved law and order situation in the country, , reported.,According to figures quoted by the AIG, 68 businessmen and 31 doctors based in Karachi have received phone calls from abroad for extortion in the past five years.,During the same time span, the AIG said, 108 Karachiites were phoned for extortion from abroad — of which 36 callers were from South Africa and 24 were from Afghanistan.,DIG Abbasi's breakdown of statistics showed that the number of extortion calls have gone down each year but have not evaporated completely.,Thirty-one cases of extortion calls from abroad were reported in 2013, while the total for 2012 was 30. The figures declined to 25 and 13 in 2015 and 2016 respectively, whereas 6 such cases were reported in 2017.,The figure for the current year stands at 3, with extortion calls made from the Netherlands, Afghanistan and Thailand. ,The DIG said that local agents of foreign-based extortionists were arrested in Karachi, although no action has so far been taken against the extortionists themselves.,DIG Abbasi, however, said that the charge sheet and other pieces of evidence will now be used to take action against such elements.,""Pakistan will raise this matter at international fora,"" he said. ""We will present all of this to international organisations."",He also said it had been decided that Interpol's assistance will be sought on the matter. "
1393,2018-05-03,"No deal with US to hand over Dr Shakeel Afridi, FO insists
","The Foreign Office (FO) on Thursday denied rumours that the ,, who was imprisoned for his alleged links to a banned militant group, from Peshawar to Adiala jail was part of a possible deal with the United States government. ,Addressing a weekly briefing, FO spokesman Dr Muhammad Faisal insisted that government authorities were not planning to swap Afridi for Aafia Siddiqui — who is currently serving a sentence in a US jail for trying to kill US agents and military officers in Afghanistan — or former Pakistani ambassador Hussain Haqqani who resides in the US and is the prime suspect in the Memogate scandal that surfaced in 2011.,Dr Faisal turned down questions about media reports claiming that the Central Intelligence Agency (CIA) had tried to stage a jailbreak in Peshawar in order to rescue Afridi, saying he had no information about the matter since it concerned the interior ministry.,Afridi, a former senior surgeon believed to be in his mid-50s, was arrested eight years ago after it emerged that he had passed on intelligence about former Al Qaeda leader Osama bin Laden to the CIA.,He was accused of helping the CIA track down the Al Qaeda leader in Abbottabad. However, he was never tried on those charges.,It emerged in May 2012 that the doctor had been tried under the Frontier Crimes Regulation and sentenced to 33 years in prison after he was convicted of ties to militants, a charge he has always denied. The sentence was later reduced to 10 years by the FCR commissioner.,Last week, Afridi was , from Peshawar jail amid tight security and was taken to Rawalpindi's Adiala jail."
1394,2018-05-04,"Rs5m looted from bank in Gulshan-i-Iqbal
","KARACHI: Half a dozen armed men stormed a private bank in Gulshan-i-Iqbal, overpowered two private security guards and walked away with Rs5 million cash on Thursday, said Gulshan SP Ghulam Murtaza Bhutto. ,The officer added that at around 2pm, six gunmen travelling in a pick-up arrived at a branch of the United Bank Ltd in Block-1 of Gulshan-i-Iqbal. ,One guard posted outside the bank had no weapon. He was armed with only a metal detector. ,The robbers overpowered him and brought him inside the bank. ,One gunman went inside a room and snatched a repeater gun from another guard as he did not put up any resistance. ,After overpowering the guards, the robbers started looting cash from the counter. Besides, new banknotes of Rs10, Rs20 and Rs50 denominations had also arrived in the bank at the time of the robbery, which were also taken away. ,Initially, the bank management had not declared the actual looted amount. However, in the evening the bank authorities told the police that a total of Rs5 million was looted, said SP Bhutto. ,Responding to a question regarding implementation of the standard operating procedure (SOP) prepared by the State Bank of Pakistan to avoid such robberies, the Gulshan SP said that Special Investigation Unit of police had arrived at the crime scene and started investigation into the incident. ,However, SP Bhutto said that initial investigations revealed that no proper bunker had been established inside the bank for security guard. ,Instead, a guard room was set up and the guard did not appear to be properly trained and alert as the gunman easily snatched the repeater from him. The guard did not challenge him at all. ,The officer said that the bank robbery was committed within two to three minutes., ,A 28-year-old man was shot dead apparently during a house robbery in Mohammadi Colony, better known as Machhar Colony, police said on Thursday. ,Docks SHO Waqar Kaiser said that four suspects entered a home in Machhar Colony near Nala Stop and gunned down Abdul Qadeer for putting up resistance. ,He sustained a single bullet wound on his chest. The suspects took away two mobile phones from the victim’s room. ,The SHO said that the police were also probing other possible motives for the murder as they had received information that since past two and a half months, the victim had been involved in a quarrel with someone in the area. ,The police suspected that the killers gave it the colour of a house robbery. "
1395,2018-05-04,"Nobel laureate’s widow willing to ‘die at home’
","BEIJING: The widow of late Nobel laureate Liu Xiaobo said that after eight years of house arrest she was ready to “die at home” in protest at her continuing detention by Chinese authorities, a report said on Wednesday.,The poet Liu Xia, 57, has been under close police watch, despite facing no charges, since her husband was awarded the Nobel Peace Prize in 2010, a recognition that deeply angered the Communist regime.,“It is easier to die than live. Using death to defy could not be any simpler for me,” Liu recently told a friend in Germany, according to the US-based website China Change. Liao Yiwu, an exiled Chinese writer living in Berlin, said in a letter published by the human rights website that he was shocked to hear Liu’s distress and urged her to “wait”.,With her permission, he also released an audio recording of an earlier phone call where Liu said that she was “ready to die” and that “if I’m dead, it’ll all be done with”.,Liu Xiaobo was a veteran of the 1989 Tiananmen Square protests and was detained in 2008 for calling for democratic reforms."
1396,2018-05-04,"CTD claims suspects in custody involved in killing neighbouring country’s dissidents
","KARACHI: The Counter-Terrorism Department (CTD) on Wednesday claimed to have gathered crucial information from three held suspects, who had allegedly been working for an intelligence agency of a neighbouring country.,CTD DIG Saqib Ismail Memon had recently announced arrests of Syed Yusuf, Syed Akbar and Syed Masoom who were allegedly involved in targeted killings, attempted murders and fundraising for terror activities.,Sharing contents of the initial probe, CTD Additional IG Dr Sanaullah Abbasi said Yusuf originally hailed from Jhang. He shifted to Karachi where he received both modern and religious education.,“Yusuf had also travelled to Kashmir and Afghanistan. He was arrested in Afghanistan and remained incarcerated there for five years. The initial probe revealed that he was paid huge money and he had opened a firm in Malaysia to sell cooking oil,” the police officer added.,“Masoom originally hailed from Lahore. He also moved to Karachi and received religious education from a seminary. Whereas, Akbar belonged to Karachi and he was an employee of the KMC,” Mr Abbasi said.,“Their activities included monitoring activities of the citizens of a neighbouring country who were objecting to its regime and were living in Pakistan, particularly in Karachi, and killing a few of them.,“During the preliminary probe, the held suspects confessed to their involvement in the targeted killing of Mohammad Salman in 2014, who was a professor in the neighbouring country.,“The professor was first shot at and wounded near his residence in Clifton at Do Talwar and later on, he was gunned down shortly after he was discharged from a private hospital in Soldier Bazaar area.,“The suspects told the interrogators that they were also tasked with assassinating dissidents living in Karachi, Quetta and Turbat,” Dr Abbasi said.,The CTD chief disclosed that they had even opened an office in the PECHS area for the purpose of raising funds for their activities. ,“We have written a letter to the State Bank of Pakistan requesting it to provide us details about their accounts. We are also looking into certain seminaries, which are allegedly involved in financing terrorism. Such seminaries will be prosecuted and put under surveillance.,“Their arrests prove presence of international [elements] in terrorist activities in the country. International and regional cooperation is imperative to eliminate the menace,” the police officer concluded."
1397,2018-05-04,"‘Underage bride’ tells court she was abducted with woman SHO’s help
","UMERKOT: Amisha Khaskheli — said to be under 18 and alleged to have been tricked into a marriage scam along with her parents by some influential community men and the city’s women police personnel — was produced before Umerkot civil judge Amir Rajput on Thursday to record her statement under Section 164 of the Criminal Procedure Code (CrPC).,She stated that she was abducted by Faizullah Palli and Saifullah Palli with the help of SHO Khush Bakht of the local women police station. The judge handed over the girl to her parents.,Before making her statement, she came across some local reporters when she was brought back to Umerkot by a team of the Pinyari police station. The reporters quoted her as saying that she was drugged by the SHO at the police station and that when she regained her senses she found herself at the house of the Pallis. ,Amisha was taken into custody along with five other persons by the SHO and her team on April 17 in a raid on a ceremony in Hashim Palli village where an alleged underage marriage was under way. The SHO took the plea that Amisha was only 13. ,The underage groom, Shahzeb, was also there but he was not taken into custody, it was learnt. ,In order to hush up the matter, the groom’s side got an affidavit executed to state under oath that the ceremony was for an engagement and not wedding and that the wedding would not be solemnised until Amisha attained the legal age for marriage.,Eventually, the girl and suspects were set free and an impression was created that Amisha was going to be handed over to her parents. However, her mother, Umran Khaskheli, moved the Sindh High Court on April 30 with the plea that the groom’s side had taken away her daughter and the SHO was not helping recover her from them. The court ordered the girl’s recovery and fixed the matter for May 7. ,Faizullah and Saifullah, sensing gravity of the situation, had surrendered themselves before the Umerkot police on April 26 and stated that they had no knowledge about the girl’s whereabouts. ,On Wednesday (May 2), a retired police head constable, Muharram Baloch, appeared at the Pinyari police station along with Amisha and claimed that he had ‘found’ her near Tando Allahyar road. ,The questions that to whom the girl was handed over by the SHO and how she reached a place far away from her house in Umerkot remained a mystery. ,Ghulam Nabi Shah, a cousin of the two suspects, on Thursday revealed that an [unspecified] amount of money was involved in the whole episode. He claimed that the girl’s parents had taken a loan from the Pallis and hinted that the matter of the girl’s engagement/marriage was linked with the same loan. He named some “characters” supposedly involved in the episode. He claimed that Amisha’s parents, who served as peasants of the Pallis, were not in a position to repay the loan and, therefore, had agreed to the [compensatory] marriage proposal. ,Ghulam Nabi Shah alleged that the “characters” instigated the bride’s side to demand Rs5 million from his cousins after the matter was highlighted and police were involved. He claimed that his cousins, at one stage, even agreed to settle the matter for Rs2m. ,Taking notice of the matter, Sindh Inspector General of Police (IGP) A.D. Khowaja on Thursday ordered that Amisha be given in custody of the Hyderabad police and a thorough investigation into the episode be conducted.,The IGP constituted a three-member committee comprising Mirpurkhas SSP Nazeer Ahmed Mallah, Umerkot SSP Aijaz Ahmed Shaikh and Umerkot DSP Fazlul Haq Chandio to hold the probe."
1398,2018-05-04,"Three men convicted for gang raping mentally challenged woman in Badin
","Three men were handed 10-year prison sentences on Friday after a court found them guilty of gang raping a mentally challenged woman in the village of Muhammad Yusaf Khoso near Badin in September 2017. ,The victim's father Khair Muhammad Khoso in a first information report had said the men had gang raped his mentally challenged daughter while she was busy collecting fodder for their livestock. ,Abdul Wahab Tunio, the second additional sessions judge at the Badin Sessions Court, convicted Ali Nawaz Mallah, Abdul Wahid Mallah and Muhammad Soomar Mallah on the crime. ,After the verdict was read out, all three convicts were sent to Central Jail Hyderabad to serve their sentences.      "
1399,2018-05-04,"Fake encounter case
","DADU: Nineteen policemen, including two SHOs and two ASIs, were booked on Thursday on charges of killing three men in a staged encounter three years ago.,The case was lodged at Rukan police station on the directives of Sindh High Court over a complaint lodged by Shahabuddin Jatoi who accused the 19 police officials of killing his brother Yousuf Jatoi and two other relatives, Shahmir Jatoi and Haji Khoso, in a staged encounter within the jurisdiction of Rukan police station.,Shahabuddin said that his brother had gone to attend an Urs where police detained them and demanded Rs600,000. When they refused they were killed in the fake encounter, he said."
